"id";"name";"slug";"kanton_code";"kanton_name";"plz";"ort";"adresse";"postfach";"telefon";"fax";"email";"homepage";"online_kalender_vorhanden_ja_nein";"online_kalender_url";"zustaendige_gemeinden"
"office-de-l-etat-civil-du-canton-de-fribourg-zivilstandsamt-des-kantons-freiburg-fribourg-fr";"Office de l'état civil du canton de Fribourg/Zivilstandsamt des Kantons Freiburg";"office-de-l-etat-civil-du-canton-de-fribourg-zivilstandsamt-des-kantons-freiburg-fribourg-fr";"FR";"Freiburg";"1701";"Fribourg";"Rue de l'Abbé-Bovet 14";"Case postale 215";"";"";"office.etatcivil@fr.ch";"";"";"";"Attalens, Autigny, Avry, Avry (Avry-sur-Matran), Avry (Corjolens), Bas-Intyamon, Bas-Intyamon (Enney), Bas-Intyamon (Estavannens), Bas-Intyamon (Villars-sous-Mont), Belfaux, Belfaux (Autafond), Belfaux (Cutterwil), Belmont-Broye, Belmont-Broye (Chandon), Belmont-Broye (Domdidier), Belmont-Broye (Dompierre (FR)), Belmont-Broye (Léchelles), Belmont-Broye (Russy), Billens-Hennens, Billens-Hennens (Billens), Billens-Hennens (Hennens), Bois-d'Amont, Bois-d'Amont (Arconciel), Bois-d'Amont (Ependes (FR)), Bois-d'Amont (Sales), Bois-d'Amont (Senèdes), Bösingen, Bossonnens, Botterens, Botterens (Villarbeney), Broc, Brünisried, Bulle, Bulle (La Tour-de-Trême), Châtel-Saint-Denis, Châtel-sur-Montsalvens, Châtillon (FR), Châtonnaye, Chénens, Cheyres-Châbles, Cheyres-Châbles (Châbles), Cheyres-Châbles (Cheyres), Corbières, Corbières (Villarvolard), Corminboeuf, Corminboeuf (Chésopelloz), Cottens, Courgevaux, Courtepin, Courtepin (Barberêche), Courtepin (Chandossel), Courtepin (Courtaman), Courtepin (Villarepos), Courtepin (Wallenried), Cressier (FR), Crésuz, Cugy (FR), Cugy (Vesin), Delley-Portalban, Delley-Portalban (Delley), Delley-Portalban (Portalban), Düdingen, Echarlens, Estavayer, Estavayer (Autavaux), Estavayer (Bussy (FR)), Estavayer (Estavayer-le-Lac), Estavayer (Font), Estavayer (Forel (FR)), Estavayer (Franex), Estavayer (La Vounaise), Estavayer (Montborget), Estavayer (Montbrelloz), Estavayer (Morens (FR)), Estavayer (Murist), Estavayer (Rueyres-les-Prés), Estavayer (Vernay), Estavayer (Vuissens), Ferpicloz, Fétigny, Fräschels, Fribourg, Gibloux, Gibloux (Corpataux-Magnedens), Gibloux (Corpataux), Gibloux (Estavayer-le-Gibloux), Gibloux (Farvagny-le-Grand), Gibloux (Farvagny-le-Petit), Gibloux (Farvagny), Gibloux (Grenilles), Gibloux (Illens), Gibloux (Le Glèbe), Gibloux (Magnedens), Gibloux (Posat), Gibloux (Rossens (FR)), Gibloux (Rueyres-Saint-Laurent), Gibloux (Villarlod), Gibloux (Villarsel-le-Gibloux), Gibloux (Vuisternens-en-Ogoz), Giffers, Givisiez, Gletterens, Grandvillard, Granges (Veveyse), Granges-Paccot, Grangettes, Greng, Grolley-Ponthaux, Grolley-Ponthaux (Corsalettes (Lac)), Grolley-Ponthaux (Grolley), Grolley-Ponthaux (Nierlet-les-Bois), Grolley-Ponthaux (Ponthaux), Gruyères, Gurmels, Gurmels (Cordast), Gurmels (Grossgurmels), Gurmels (Grossguschelmuth), Gurmels (Guschelmuth), Gurmels (Kleingurmels), Gurmels (Kleinguschelmuth), Gurmels (Liebistorf), Gurmels (Monterschu), Gurmels (Wallenbuch), Haut-Intyamon, Haut-Intyamon (Albeuve), Haut-Intyamon (Lessoc), Haut-Intyamon (Montbovon), Haut-Intyamon (Neirivue), Hauterive, Hauterive (FR) (Ecuvillens), Hauterive (FR) (Posieux), Hauteville, Heitenried, Jaun, Kerzers, Kleinbösingen, La Brillaz, La Brillaz (Lentigny), La Brillaz (Lovens), La Brillaz (Onnens), La Roche, La Sonnaz, La Sonnaz (Cormagens), La Sonnaz (Formangueires), La Sonnaz (La Corbaz), La Sonnaz (Lossy-Formangueires), La Sonnaz (Lossy), La Verrerie, La Verrerie (Grattavache), La Verrerie (Le Crêt), La Verrerie (Progens), Le Châtelard, Le Flon, Le Flon (Bouloz), Le Flon (Pont), Le Flon (Porsel), Le Mouret, Le Mouret (Bonnefontaine), Le Mouret (Essert), Le Mouret (Montécu), Le Mouret (Montévraz), Le Mouret (Oberried), Le Mouret (Praroman), Le Mouret (Zénauva), Le Pâquier, Les Montets, Les Montets (Aumont), Les Montets (Frasses), Les Montets (Granges-de-Vesin), Les Montets (Montet (Broye)), Lully (Bollion), Lully (FR), Lully (Seiry), Marly, Marly (Chésalles), Marly (Marly-le-Grand), Marly (Marly-le-Petit), Marsens, Marsens (Vuippens), Massonnens, Matran, Ménières, Meyriez, Mézières, Mézières (FR) (Berlens), Misery-Courtion, Misery-Courtion (Cormérod), Misery-Courtion (Cournillens), Misery-Courtion (Courtion), Misery-Courtion (Misery), Mont-Vully, Mont-Vully (Bas-Vully), Mont-Vully (Haut-Vully), Montagny, Montagny (Mannens-Grandsivaz), Montagny (Montagny-la-Ville), Montagny (Montagny-les-Monts), Morlon, Muntelier, Murten, Murten (Altavilla), Murten (Büchslen), Murten (Burg), Murten (Clavaleyres BE), Murten (Courlevon), Murten (Coussiberlé), Murten (Galmiz), Murten (Gempenach), Murten (Jeuss), Murten (Lurtigen), Murten (Salvenach), Neyruz, Nuvilly, Pierrafortscha, Plaffeien, Plaffeien (Oberschrot), Plaffeien (Zumholz), Plasselb, Plasselb (Neuhaus), Pont-en-Ogoz, Pont-en-Ogoz (Avry-devant-Pont), Pont-en-Ogoz (Gumefens), Pont-en-Ogoz (Le Bry), Pont-en-Ogoz (Villars-d'Affry), Pont-la-Ville, Prévondavaux, Prez, Prez (Corserey), Prez (Noréaz), Prez (Prez-vers-Noréaz), Rechthalten, Remaufens, Riaz, Ried bei Kerzers, Ried bei Kerzers (Agriswil), Romont (FR), Romont (FR) (Arruffens), Romont (FR) (Les Glânes), Rue, Rue (Auboranges), Rue (Blessens), Rue (Chapelle (Glâne)), Rue (Ecublens), Rue (Eschiens), Rue (Gillarens), Rue (Promasens), Rue (Villangeaux), Saint-Aubin, Saint-Aubin (FR) (Les Friques), Saint-Martin (FR), Saint-Martin (FR) (Besencens), Saint-Martin (FR) (Fiaugères), Sâles, Sâles (Maules), Sâles (Romanens), Sâles (Rueyres-Treyfayes), Schmitten (FR), Semsales, Semsales (La Rougève), Sévaz, Siviriez, Siviriez (Chavannes-les-Forts), Siviriez (Le Saulgy), Siviriez (Prez-vers-Siviriez), Siviriez (Villaraboud), Siviriez (Villaranon), Sorens, St. Silvester, St. Ursen, Surpierre, Surpierre (Chapelle (Broye)), Surpierre (Cheiry), Surpierre (Praratoud), Surpierre (Villeneuve (FR)), Tafers, Tafers (Alterswil), Tafers (St. Antoni), Tentlingen, Torny, Torny (Middes), Torny (Torny-le-Grand), Treyvaux, Ueberstorf, Ulmiz, Ursy, Ursy (Bionnens), Ursy (Esmonts), Ursy (Montet (Glâne)), Ursy (Morlens), Ursy (Mossel), Ursy (Vauderens), Ursy (Vuarmarens), Val-de-Charmey, Val-de-Charmey (Cerniat (FR)), Val-de-Charmey (Charmey), Vallon, Vaulruz, Villars-sur-Glâne, Villarsel-sur-Marly, Villaz, Villaz (Fuyens), Villaz (La Folliaz), Villaz (Lussy), Villaz (Macconnens), Villaz (Villarimboud), Villaz (Villaz-Saint-Pierre), Villorsonnens, Villorsonnens (Chavannes-sous-Orsonnens), Villorsonnens (Granges-la-Battiaz), Villorsonnens (Orsonnens), Villorsonnens (Villargiroud), Villorsonnens (Villarsiviriaux), Vuadens, Vuisternens-devant-Romont, Vuisternens-devant-Romont (Estévenens), Vuisternens-devant-Romont (La Joux), Vuisternens-devant-Romont (La Magne), Vuisternens-devant-Romont (La Neirigue), Vuisternens-devant-Romont (Les Ecasseys), Vuisternens-devant-Romont (Lieffrens), Vuisternens-devant-Romont (Sommentier), Vuisternens-devant-Romont (Villariaz), Wünnewil-Flamatt"
"arrondissement-de-l-etat-civil-campagne-et-rive-gauche-du-lac-vesenaz-ge";"Arrondissement de l'état civil Campagne et rive gauche du Lac";"arrondissement-de-l-etat-civil-campagne-et-rive-gauche-du-lac-vesenaz-ge";"GE";"Genf";"1222";"Vésenaz";"Chemin des Rayes 3";"Case postale 160";"";"+41 22 722 11 88";"etat-civil@collonge-bellerive.ch";"";"";"";"Anières, Choulex, Collonge-Bellerive, Cologny, Corsier, Gy, Hermance, Meinier, Vandoeuvres"
"arrondissement-de-l-etat-civil-chene-bourg-thonex-veyrier-chene-bourg-ge";"Arrondissement de l'état civil Chêne-Bourg-Thônex-Veyrier";"arrondissement-de-l-etat-civil-chene-bourg-thonex-veyrier-chene-bourg-ge";"GE";"Genf";"1225";"Chêne-Bourg";"Avenue du Petit-Senn 46";"Case postale 148";"";"+41 22 348 05 24";"etat-civil@chene-bourg.ch";"";"";"";"Chêne-Bourg, Thônex, Veyrier"
"arrondissement-de-l-etat-civil-de-bernex-bernex-ge";"Arrondissement de l'état civil de Bernex";"arrondissement-de-l-etat-civil-de-bernex-bernex-ge";"GE";"Genf";"1233";"Bernex";"rue de Bernex 313";"CP 371";"";"+41 22 850 92 39";"etat-civil@bernex.ch";"";"";"";"Aire-la-Ville, Avully, Avusy, Bernex, Cartigny, Chancy, Confignon, Laconnex, Onex, Soral"
"arrondissement-de-l-etat-civil-de-carouge-carouge-ge";"Arrondissement de l'état civil de Carouge";"arrondissement-de-l-etat-civil-de-carouge-carouge-ge";"GE";"Genf";"1227";"Carouge";"Place du Marché 14";"CP 1576";"";"";"etat-civil@carouge.ch";"";"";"";"Carouge, Troinex"
"arrondissement-de-l-etat-civil-de-chene-bougeries-voirons-chene-bougeries-ge";"Arrondissement de l'état civil de Chêne-Bougeries-Voirons";"arrondissement-de-l-etat-civil-de-chene-bougeries-voirons-chene-bougeries-ge";"GE";"Genf";"1224";"Chêne-Bougeries";"route du Vallon 4";"CP 160";"";"+41 22 869 17 51";"etat-civil@chene-bougeries.ch";"";"";"";"Chêne-Bougeries, Jussy, Presinge, Puplinge"
"arrondissement-de-l-etat-civil-de-geneve-geneve-6-ge";"Arrondissement de l'état civil de Genève";"arrondissement-de-l-etat-civil-de-geneve-geneve-6-ge";"GE";"Genf";"1211";"Genève 6";"rue de la Mairie 37";"CP 6327";"";"+41 22 418 66 51";"etat-civil@ville-ge.ch";"";"";"";"Genève"
"arrondissement-de-l-etat-civil-de-lancy-grand-lancy-1-ge";"Arrondissement de l'état civil de Lancy";"arrondissement-de-l-etat-civil-de-lancy-grand-lancy-1-ge";"GE";"Genf";"1212";"Grand-Lancy 1";"Route du Grand-Lancy 39A, Case postale 920";"";"";"";"etat-civil@lancy.ch";"";"";"";"Bardonnex, Lancy, Perly-Certoux, Plan-les-Ouates"
"arrondissement-de-l-etat-civil-meyrin-mandement-vernier-meyrin-ge";"Arrondissement de l'état civil Meyrin - Mandement - Vernier";"arrondissement-de-l-etat-civil-meyrin-mandement-vernier-meyrin-ge";"GE";"Genf";"1217";"Meyrin";"rue des Boudines 2, CP 367";"";"";"+41 22 782 30 94";"etat-civil@meyrin.ch";"";"";"";"Dardagny, Meyrin, Russin, Satigny, Vernier"
"arrondissement-de-l-etat-civil-rive-droite-du-lac-chambesy-ge";"Arrondissement de l'état civil Rive droite du lac";"arrondissement-de-l-etat-civil-rive-droite-du-lac-chambesy-ge";"GE";"Genf";"1292";"Chambésy";"Route de Pregny 47";"";"";"+41 22 758 03 22";"etatcivil@pregny-chambesy.ch";"";"";"";"Bellevue, Céligny, Collex-Bossy, Genthod, Le Grand-Saconnex, Pregny-Chambésy, Versoix"
"zivilstandskreis-glarus-glarus-gl";"Zivilstandskreis Glarus";"zivilstandskreis-glarus-glarus-gl";"GL";"Glarus";"8750";"Glarus";"Postgasse 29";"";"";"";"zivilstandsamt@gl.ch";"";"";"";"Glarus, Glarus Nord, Glarus Süd"
"ufficio-di-stato-civile-bernina-poschiavo-gr";"Ufficio di stato civile Bernina";"ufficio-di-stato-civile-bernina-poschiavo-gr";"GR";"Graubuenden";"7742";"Poschiavo";"Via da Clalt 2";"";"";"";"statocivile@regione-bernina.ch";"";"";"";"Brusio, Poschiavo"
"ufficio-di-stato-civile-moesa-santa-maria-in-calanca-gr";"Ufficio di stato civile Moesa";"ufficio-di-stato-civile-moesa-santa-maria-in-calanca-gr";"GR";"Graubuenden";"6541";"Santa Maria in Calanca";"A la Gescia 22";"";"";"+41 91 827 24 12";"usc@regionemoesa.ch";"";"";"";"Buseno, Calanca, Calanca (Arvigo), Calanca (Braggio), Calanca (Cauco), Calanca (Landarenca), Calanca (Selma), Cama, Castaneda, Grono, Grono (Leggia), Grono (Verdabbio), Lostallo, Mesocco, Rossa, Rossa (Augio), Rossa (Sta. Domenica), Roveredo, San Vittore, Santa Maria in Calanca, Soazza"
"zivilstandsamt-albula-tiefencastel-gr";"Zivilstandsamt Albula";"zivilstandsamt-albula-tiefencastel-gr";"GR";"Graubuenden";"7450";"Tiefencastel";"Stradung 26";"";"";"";"za@region-albula.ch";"";"";"";"Albula/Alvra, Albula/Alvra (Alvaneu), Albula/Alvra (Alvaschein), Albula/Alvra (Brienz/Brinzauls), Albula/Alvra (Mon), Albula/Alvra (Stierva), Albula/Alvra (Surava), Albula/Alvra (Tiefencastel), Bergün Filisur, Bergün Filisur (Bergün/Bravuogn), Bergün Filisur (Filisur), Bergün Filisur (Latsch), Bergün Filisur (Stugl/Stuls), Lantsch/Lenz, Schmitten (GR), Surses, Surses (Bivio), Surses (Cunter), Surses (Marmorera), Surses (Mulegns), Surses (Parsonz), Surses (Riom-Parsonz), Surses (Riom), Surses (Rona), Surses (Salouf), Surses (Savognin), Surses (Sur), Surses (Tinizong-Rona), Surses (Tinizong), Vaz/Obervaz"
"zivilstandsamt-en-scuol-gr";"Zivilstandsamt En";"zivilstandsamt-en-scuol-gr";"GR";"Graubuenden";"7550";"Scuol";"Chasa du Parc";"";"";"+41 81 861 00 38";"stadicivil@ebvm.ch";"";"";"";"Samnaun, Scuol, Scuol (Ardez), Scuol (Ftan), Scuol (Guarda), Scuol (Sent), Scuol (Tarasp), Val Müstair, Val Müstair (Fuldera), Val Müstair (Lü), Val Müstair (Müstair), Val Müstair (Sta. Maria), Val Müstair (Tschierv), Val Müstair (Valchava), Valsot, Valsot (Ramosch), Valsot (Tschlin), Zernez, Zernez (Lavin), Zernez (Susch)"
"zivilstandsamt-imboden-domat-ems-gr";"Zivilstandsamt Imboden";"zivilstandsamt-imboden-domat-ems-gr";"GR";"Graubuenden";"7013";"Domat/Ems";"Plaz 7";"";"";"+41 81 254 58 74";"info.za@regionimboden.ch";"";"";"";"Bonaduz, Domat/Ems, Felsberg, Flims, Rhäzüns, Tamins, Trin"
"zivilstandsamt-landquart-landquart-gr";"Zivilstandsamt Landquart";"zivilstandsamt-landquart-landquart-gr";"GR";"Graubuenden";"7302";"Landquart";"Bahnhofplatz 2a";"";"";"+41 81 307 25 50";"za@landquart.ch";"";"";"";"Fläsch, Jenins, Landquart, Landquart (Igis), Landquart (Mastrils), Maienfeld, Malans, Trimmis, Trimmis (Says), Untervaz, Zizers"
"zivilstandsamt-maloja-st-moritz-gr";"Zivilstandsamt Maloja";"zivilstandsamt-maloja-st-moritz-gr";"GR";"Graubuenden";"7500";"St. Moritz";"Via Maistra 12";"";"";"+41 81 836 30 82";"za@regio-maloja.ch";"";"";"";"Bever, Bregaglia, Bregaglia (Bondo), Bregaglia (Casaccia), Bregaglia (Castasegna), Bregaglia (Soglio), Bregaglia (Stampa), Bregaglia (Vicosoprano), Celerina/Schlarigna, La Punt Chamues-ch, Madulain, Pontresina, S-chanf, Samedan, Sils im Engadin/Segl, Silvaplana, St. Moritz, Zuoz"
"zivilstandsamt-plessur-chur-gr";"Zivilstandsamt Plessur";"zivilstandsamt-plessur-chur-gr";"GR";"Graubuenden";"7001";"Chur";"Klostergasse 11, Postfach 850";"";"";"+41 81 254 58 72";"za@chur.ch";"";"";"";"Arosa, Arosa (Calfreisen), Arosa (Castiel), Arosa (Langwies), Arosa (Lüen), Arosa (Molinis), Arosa (Pagig), Arosa (Peist), Arosa (St. Peter-Pagig), Arosa (St. Peter), Chur, Chur (Haldenstein), Chur (Maladers), Chur (Praden), Chur (Tschiertschen-Praden), Chur (Tschiertschen), Churwalden, Churwalden (Malix), Churwalden (Parpan)"
"zivilstandsamt-prattigau-davos-davos-platz-gr";"Zivilstandsamt Prättigau/Davos";"zivilstandsamt-prattigau-davos-davos-platz-gr";"GR";"Graubuenden";"7270";"Davos Platz";"Berglistutz 8";"Postfach 45";"";"";"zapd@praettigau-davos.ch";"";"";"";"Conters im Prättigau, Davos, Davos (Wiesen), Fideris, Furna, Grüsch, Grüsch (Fanas), Grüsch (Valzeina), Jenaz, Klosters, Klosters (Saas), Küblis, Luzein, Luzein (St. Antönien-Ascharina), Luzein (St. Antönien-Castels), Luzein (St. Antönien-Rüti), Luzein (St. Antönien), Schiers, Seewis im Prättigau"
"zivilstandsamt-surselva-ilanz-gr";"Zivilstandsamt Surselva";"zivilstandsamt-surselva-ilanz-gr";"GR";"Graubuenden";"7130";"Ilanz";"Glennerstrasse 22 a";"Postfach 84";"";"+41 81 926 25 37";"zivilstandsamt@surselva.ch";"";"";"";"Breil/Brigels, Breil/Brigels (Andiast), Breil/Brigels (Waltensburg/Vuorz), Disentis/Mustér, Falera, Ilanz/Glion, Ilanz/Glion (Castrisch), Ilanz/Glion (Duvin), Ilanz/Glion (Ilanz), Ilanz/Glion (Ladir), Ilanz/Glion (Luven), Ilanz/Glion (Pigniu), Ilanz/Glion (Pitasch), Ilanz/Glion (Riein), Ilanz/Glion (Rueun), Ilanz/Glion (Ruschein), Ilanz/Glion (Schnaus), Ilanz/Glion (Sevgein), Ilanz/Glion (Siat), Ilanz/Glion (Strada), Laax, Lumnezia, Lumnezia (Camuns), Lumnezia (Cumbel), Lumnezia (Degen), Lumnezia (Lumbrein), Lumnezia (Morissen), Lumnezia (Peiden), Lumnezia (Suraua), Lumnezia (Surcasti), Lumnezia (Tersnaus), Lumnezia (Uors-Peiden), Lumnezia (Uors), Lumnezia (Vella), Lumnezia (Vignogn), Lumnezia (Vrin), Medel (Lucmagn), Obersaxen Mundaun, Obersaxen Mundaun (Flond), Obersaxen Mundaun (Mundaun), Obersaxen Mundaun (Obersaxen), Obersaxen Mundaun (Surcuolm), Safiental, Safiental (Safien), Safiental (Tenna), Safiental (Valendas), Safiental (Versam), Sagogn, Schluein, Sumvitg, Trun, Trun (Schlans), Tujetsch, Vals, Vals (St. Martin)"
"zivilstandsamt-viamala-thusis-gr";"Zivilstandsamt Viamala";"zivilstandsamt-viamala-thusis-gr";"GR";"Graubuenden";"7430";"Thusis";"Rathaus";"Postfach 180";"";"";"info@za-viamala.ch";"";"";"";"Andeer, Andeer (Clugin), Andeer (Pignia), Avers, Cazis, Cazis (Portein), Cazis (Präz), Cazis (Sarn), Cazis (Tartar), Domleschg, Domleschg (Almens), Domleschg (Feldis/Veulden), Domleschg (Paspels), Domleschg (Pratval), Domleschg (Rodels), Domleschg (Scheid), Domleschg (Tomils), Domleschg (Trans), Domleschg (Tumegl/Tomils), Ferrera, Ferrera (Ausserferrera), Ferrera (Innerferrera), Flerden, Fürstenau, Masein, Muntogna da Schons, Muntogna da Schons (Casti-Wergenstein), Muntogna da Schons (Casti), Muntogna da Schons (Donat), Muntogna da Schons (Donath), Muntogna da Schons (Lohn), Muntogna da Schons (Mathon), Muntogna da Schons (Patzen-Fardün), Muntogna da Schons (Wergenstein), Rheinwald, Rheinwald (Hinterrhein), Rheinwald (Medels i. Rh.), Rheinwald (Nufenen), Rheinwald (Splügen), Rongellen, Rothenbrunnen, Scharans, Sils im Domleschg, Splügen (Medels i. Rh.), Sufers, Thusis, Thusis (Mutten), Tschappina, Urmein, Zillis-Reischen"
"office-de-l-etat-civil-du-jura-delemont-ju";"Office de l'état civil du Jura";"office-de-l-etat-civil-du-jura-delemont-ju";"JU";"Jura";"2800";"Delémont";"3, rue du 24-Septembre";"";"";"+41 32 420 54 51";"secr.oej@jura.ch";"";"";"";"Alle, Asuel (La Baroche), Basse-Allaine, Basse-Vendline, Bassecourt (Haute-Sorne), Beurnevésin (Basse-Vendline), Boécourt, Boécourt-Séprais, Boncourt, Bonfol (Basse-Vendline), Bourrignon, Bressaucourt (Fontenais), Buix (Basse-Allaine), Bure, Charmoille (La Baroche), Châtillon (JU), Chevenez (Haute-Ajoie), Clos du Doubs, Coeuve, Corban (Val Terbi), Cornol, Courchapoix, Courchavon, Courfaivre (Haute-Sorne), Courgenay, Courrendlin, Courroux, Courtedoux, Courtemaîche (Basse-Allaine), Courtételle, Damphreux (Damphreux-Lugnez), Damphreux-Lugnez, Damvant (Haute-Ajoie), Delémont, Develier, Ederswiler, Epauvillers (Clos du Doubs), Epiquerez (Clos du Doubs), Fahy, Fontenais, Fregiécourt (La Baroche), Glovelier (Haute-Sorne), Goumois (Saignelégier), Grandfontaine, Haute-Ajoie, Haute-Sorne, La Baroche, La Chaux-des-Breuleux (Les Breuleux), Lajoux, Le Bémont, Le Noirmont, Le Peuchapatte (Muriaux), Les Bois, Les Breuleux, Les Breuleux (Les Breuleux), Les Enfers, Les Genevez, Les Pommerats (Saignelégier), Lugnez (Damphreux-Lugnez), Mervelier, Mettembert, Miécourt (La Baroche), Montavon, Montenol (Clos du Doubs), Montfaucon, Montfavergier (Montfaucon), Montignez (Basse-Allaine), Montmelon (Clos du Doubs), Montsevelier (Val Terbi), Movelier, Muriaux, Ocourt (Clos du Doubs), Pleigne, Pleujouse (La Baroche), Porrentruy, Rebeuvelier (Courrendlin), Réclère (Haute-Ajoie), Riedes-Dessus, Roche-d'Or (Haute-Ajoie), Rocourt (Haute-Ajoie), Rossemaison, Saignelégier, Saint-Brais, Saint-Ursanne (Clos du Doubs), Saulcy, Sceut, Seleute (Clos du Doubs), Soubey, Soulce (Haute-Sorne), Soyhières, Undervelier (Haute-Sorne), Val Terbi, Vellerat (Courrendlin), Vendlincourt, Vermes (Val Terbi), Vicques (Val Terbi)"
"zivilstandskreis-amt-willisau-willisau-lu";"Zivilstandskreis Amt Willisau";"zivilstandskreis-amt-willisau-willisau-lu";"LU";"Luzern";"6130";"Willisau";"Schlossstrasse 5";"Postfach";"";"+41 41 972 71 90";"zivilstandsamt@willisau.ch";"";"";"";"Alberswil, Altbüron, Altishofen, Dagmersellen, Egolzwil, Ettiswil, Fischbach, Grossdietwil, Hergiswil bei Willisau, Luthern, Menznau, Nebikon, Pfaffnau, Reiden, Roggliswil, Schötz, Ufhusen, Wauwil, Wikon, Willisau, Zell (LU)"
"zivilstandskreis-ebikon-ebikon-lu";"Zivilstandskreis Ebikon";"zivilstandskreis-ebikon-ebikon-lu";"LU";"Luzern";"6031";"Ebikon";"Riedmattstrasse 14";"";"";"+41 41 444 02 03";"zivilstandsamt@ebikon.ch";"";"";"";"Adligenswil, Buchrain, Dierikon, Ebikon, Gisikon, Meierskappel, Root, Udligenswil"
"zivilstandskreis-emmen-emmenbrucke-lu";"Zivilstandskreis Emmen";"zivilstandskreis-emmen-emmenbrucke-lu";"LU";"Luzern";"6020";"Emmenbrücke";"Rüeggisingerstrasse 22";"";"";"";"zivilstandsamt@emmen.ch";"";"";"";"Emmen, Rain, Rothenburg"
"zivilstandskreis-hochdorf-hochdorf-lu";"Zivilstandskreis Hochdorf";"zivilstandskreis-hochdorf-hochdorf-lu";"LU";"Luzern";"6280";"Hochdorf";"Hauptstrasse 3";"";"";"";"zivilstandsamt@hochdorf.ch";"";"";"";"Aesch (LU), Ballwil, Ermensee, Eschenbach (LU), Hitzkirch, Hochdorf, Hohenrain, Inwil, Römerswil, Schongau"
"zivilstandskreis-horw-horw-lu";"Zivilstandskreis Horw";"zivilstandskreis-horw-horw-lu";"LU";"Luzern";"6048";"Horw";"Gemeindehausplatz 1";"";"";"+41 41 349 14 81";"andreas.meier@horw.ch";"";"";"";"Horw"
"zivilstandskreis-kriens-kriens-lu";"Zivilstandskreis Kriens";"zivilstandskreis-kriens-kriens-lu";"LU";"Luzern";"6011";"Kriens";"Stadtplatz 1";"Postfach 1247";"";"+41 41 329 63 06";"zivilstandsamt@kriens.ch";"";"";"";"Kriens"
"zivilstandskreis-luzern-luzern-lu";"Zivilstandskreis Luzern";"zivilstandskreis-luzern-luzern-lu";"LU";"Luzern";"6002";"Luzern";"Stadt Luzern, Obergrundstrasse 1";"";"";"";"zivilstandsamt@stadtluzern.ch";"";"";"";"Greppen, Luzern, Malters, Meggen, Schwarzenberg, Vitznau, Weggis"
"zivilstandskreis-oberer-sempachersee-sempach-lu";"Zivilstandskreis Oberer Sempachersee";"zivilstandskreis-oberer-sempachersee-sempach-lu";"LU";"Luzern";"6204";"Sempach";"Stadtstrasse 8";"";"";"+41 41 462 52 11";"zivilstandsamt@sempach.ch";"";"";"";"Eich, Hildisrieden, Neuenkirch, Sempach"
"zivilstandskreis-sursee-sursee-lu";"Zivilstandskreis Sursee";"zivilstandskreis-sursee-sursee-lu";"LU";"Luzern";"6210";"Sursee";"Centralstrasse 9";"";"";"";"zivilstandsamt@stadtsursee.ch";"";"";"";"Beromünster, Büron, Buttisholz, Geuensee, Grosswangen, Knutwil, Mauensee, Nottwil, Oberkirch, Rickenbach (LU), Schenkon, Schlierbach, Sursee, Triengen"
"zivilstandskreis-wolhusen-wolhusen-lu";"Zivilstandskreis Wolhusen";"zivilstandskreis-wolhusen-wolhusen-lu";"LU";"Luzern";"6110";"Wolhusen";"Menznauerstrasse 13";"Postfach 165";"";"+41 41 492 66 70";"zivilstandsamt@wolhusen.ch";"";"";"";"Doppleschwand, Entlebuch, Escholzmatt-Marbach, Flühli, Hasle, Romoos, Ruswil, Schüpfheim, Werthenstein, Wolhusen"
"etat-civil-des-montagnes-neuchateloises-le-locle-ne";"Etat civil des Montagnes neuchâteloises";"etat-civil-des-montagnes-neuchateloises-le-locle-ne";"NE";"Neuenburg";"2400";"Le Locle";"Hôtel de Ville";"";"";"+41 32 933 84 69";"ecmn@ne.ch";"";"";"";"Brot-Plamboz, La Brévine, La Chaux-de-Fonds, La Chaux-du-Milieu, La Sagne, Le Cerneux-Péquignot, Le Locle, Les Brenets (Le Locle), Les Planchettes, Les Ponts-de-Martel"
"office-de-l-etat-civil-boudry-ne";"Office de l'état civil";"office-de-l-etat-civil-boudry-ne";"NE";"Neuenburg";"2017";"Boudry";"Rue Louis-Favre 37";"";"";"+41 32 886 47 44";"Etat-Civil.Boudry@ne.ch";"";"";"";"Auvernier (Milvignes), Bevaix (La Grande Béroche), Bôle (Milvignes), Boudry, Brot-Dessous (Rochefort), Colombier (Milvignes), Cortaillod, Fresens (La Grande Béroche), Gorgier (La Grande Béroche), La Grande Béroche, Milvignes, Montalchez (La Grande Béroche), Rochefort, Saint-Aubin-Sauges (La Grande Béroche), Vaumarcus (La Grande Béroche)"
"office-de-l-etat-civil-de-l-arrondissement-de-neuchatel-neuchatel-ne";"office de l'état civil de l'arrondissement de Neuchâtel";"office-de-l-etat-civil-de-l-arrondissement-de-neuchatel-neuchatel-ne";"NE";"Neuenburg";"2000";"Neuchâtel";"Rue de l'Hôtel-de-Ville 1";"";"";"";"ec.vdn@ne.ch";"";"";"";"Corcelles-Cormondrèche (Neuchâtel), Cornaux, Cressier (NE), Enges (Laténa), Hauterive (Laténa), La Tène (Laténa), Laténa, Le Landeron, Lignières, Marin-Epagnier (Laténa), Neuchâtel, Peseux (Neuchâtel), Saint-Blaise (Laténa), Thielle-Wavre (Laténa), Valangin (Neuchâtel)"
